study,doi,year,study.area,lat,long,latlong.precision,plot.group,plot.name,plot.type,woody.veg,veg.planted,veg.age.yrs,soil.texture,soil.clay,soil.sand,soil.silt,soil.sample.diameter,soil.sample.depth.min,soil.sample.depth.max,pool,metric,value,value.se,value.units,value.precision,comments,flag
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable CUZ-01,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,190.76,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable CUZ-02,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,198.23,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable CUZ-03,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,197.34,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable JEN-13,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,155.16,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable TAM-01,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,193.84,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable TAM-02,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,206.67,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable TAM-05,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,207.8,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable TAM-07,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,189.84,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable TAM-08,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,176.64,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable TAM-09,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,194.57,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable YAN-01,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,269.7,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable YAN-02,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,286.03,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable VG-COU-1,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,213.12,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable VG-COU-4,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,254.12,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable VG-COU-5,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,219.3,NA,t/ha,reported value for plot,,
Adrianzen 2015,http://www.scielo.sa.cr/pdf/rbt/v63n1/a21v63n1.pdf,2015,Peru,-10.877076,-70.47112463,midpoint,P. Inundable,P. Inundable VG-COU-6,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,239.48,NA,t/ha,reported value for plot,,
Aguilera et al. 2010,10.1007/s10530-009-9543-z,2010,central Massachusetts,42.342308,-72.578559,estimated,AM1,invaded riparian,invasives,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,carbon stock,824.8,199.8,g/m2,reported mean values by plot type,unclear if biomass includes woody veg (trees),
Aguilera et al. 2010,10.1007/s10530-009-9543-z,2010,central Massachusetts,42.342308,-72.578559,estimated,AM1,riparian,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,carbon stock,384.6,28.9,g/m2,reported mean values by plot type,unclear if biomass includes woody veg (trees),
Aguilera et al. 2010,10.1007/s10530-009-9543-z,2010,central Massachusetts,42.342308,-72.578559,estimated,NHM,invaded riparian,invasives,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,carbon stock,44.4,10.4,g/m2,reported mean values by plot type,unclear if biomass includes woody veg (trees),
Aguilera et al. 2010,10.1007/s10530-009-9543-z,2010,central Massachusetts,42.342308,-72.578559,estimated,NHM,riparian,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,carbon stock,15,1.4,g/m2,reported mean values by plot type,unclear if biomass includes woody veg (trees),
Aguilera et al. 2010,10.1007/s10530-009-9543-z,2010,central Massachusetts,42.342308,-72.578559,estimated,RB1,invaded riparian,invasives,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,carbon stock,339,120.1,g/m2,reported mean values by plot type,unclear if biomass includes woody veg (trees),
Aguilera et al. 2010,10.1007/s10530-009-9543-z,2010,central Massachusetts,42.342308,-72.578559,estimated,RB1,riparian,NA,yes,no,NA,NA,,,,NA,NA,NA,aboveground biomass,carbon stock,47.4,9.1,g/m2,reported mean values by plot type,unclear if biomass includes woody veg (trees),
Aguilera et al. 2010,10.1007/s10530-009-9543-z,2010,central Massachusetts,42.342308,-72.578559,estimated,riparian forest,reference,reference,yes,no,NA,NA,,,,5,0,10,soil,total carbon concentration,10.06,0.61,%,reported value for veg type,no baseline,
Aguilera et al. 2010,10.1007/s10530-009-9543-z,2010,central Massachusetts,42.342308,-72.578559,estimated,riparian forest,invaded riparian,invasives,yes,no,NA,NA,,,,5,0,10,soil,total carbon concentration,10.9,0.42,%,reported value for veg type,no baseline,
Appling et al. 2014,10.1002/2013JG002543,2014,northwest Montana,48.458333,-113.833333,published,forested floodplain,,NA,yes,no,92,multiple,,,,NA,0,100,soil,total carbon stock,9.5,1.8,kg/m2,reported value for veg type,no baseline,
Balasubramanian et al. 2015,http://www.tropecol.com/pdf/open/PDF_56_3/2%20Balasubramanian.pdf,2015,northeastern India,26.535,92.683472,midpoint,forest,pre-flood,baseline,yes,no,NA,sandy loam,,,,5.5,0,10,soil,organic carbon concentration,2.13,0.08,%,reported value,,
Balasubramanian et al. 2015,http://www.tropecol.com/pdf/open/PDF_56_3/2%20Balasubramanian.pdf,2015,northeastern India,26.535,92.683472,midpoint,forest,pre-flood,baseline,yes,no,NA,sandy loam,,,,5.5,10,20,soil,organic carbon concentration,1.91,0.07,%,reported value,,
Balasubramanian et al. 2015,http://www.tropecol.com/pdf/open/PDF_56_3/2%20Balasubramanian.pdf,2015,northeastern India,26.535,92.683472,midpoint,forest,post-flood,NA,yes,no,NA,sandy loam,,,,5.5,0,10,soil,organic carbon concentration,1.37,0.04,%,reported value,,
Balasubramanian et al. 2015,http://www.tropecol.com/pdf/open/PDF_56_3/2%20Balasubramanian.pdf,2015,northeastern India,26.535,92.683472,midpoint,forest,post-flood,NA,yes,no,NA,sandy loam,,,,5.5,10,20,soil,organic carbon concentration,1.23,0.09,%,reported value,,
Balasubramanian et al. 2015,http://www.tropecol.com/pdf/open/PDF_56_3/2%20Balasubramanian.pdf,2015,northeastern India,26.535,92.683472,midpoint,forest,pre-flood,baseline,yes,no,NA,sandy loam,,,,5.5,0,10,soil,bulk density,1.1,0.02,g/cm3,reported value,,
Balasubramanian et al. 2015,http://www.tropecol.com/pdf/open/PDF_56_3/2%20Balasubramanian.pdf,2015,northeastern India,26.535,92.683472,midpoint,forest,pre-flood,baseline,yes,no,NA,sandy loam,,,,5.5,10,20,soil,bulk density,1.23,0.04,g/cm3,reported value,,
Balasubramanian et al. 2015,http://www.tropecol.com/pdf/open/PDF_56_3/2%20Balasubramanian.pdf,2015,northeastern India,26.535,92.683472,midpoint,forest,post-flood,NA,yes,no,NA,sandy loam,,,,5.5,0,10,soil,bulk density,0.89,0.009,g/cm3,reported value,,
Balasubramanian et al. 2015,http://www.tropecol.com/pdf/open/PDF_56_3/2%20Balasubramanian.pdf,2015,northeastern India,26.535,92.683472,midpoint,forest,post-flood,NA,yes,no,NA,sandy loam,,,,5.5,10,20,soil,bulk density,1.06,0.06,g/cm3,reported value,,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,active floodplain,NA,yes,no,8-13,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,18.10,3.8,t/ha,reported age class mean over 3 years,stem biomass,2
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,young riparian terrace,NA,yes,no,18-41,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,134.20,27.8,t/ha,reported age class mean over 3 years,stem biomass,2
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,mature riparian terrace,mature,yes,no,103-351,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,541.70,128.3,t/ha,reported age class mean over 3 years,stem biomass,2
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,active floodplain 1,NA,yes,no,8,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,23.34,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,active floodplain 2,NA,yes,no,9,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,20.53,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,active floodplain 3,NA,yes,no,9,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,12.56,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,active floodplain 4,NA,yes,no,13,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,5.43,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,active floodplain 5,NA,yes,no,13,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,23.52,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,young riparian terrace 1,NA,yes,no,18,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,80.56,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,young riparian terrace 2,NA,yes,no,23,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,67.70,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,young riparian terrace 3,NA,yes,no,38,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,228.35,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,young riparian terrace 4,NA,yes,no,41,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,140.78,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,mature riparian terrace 1,mature,yes,no,103,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,227.71,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,mature riparian terrace 2,mature,yes,no,121,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,227.54,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,mature riparian terrace 3,mature,yes,no,148,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,202.92,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,mature riparian terrace 4,mature,yes,no,162,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,705.49,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,mature riparian terrace 5,mature,yes,no,228,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,471.34,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,mature riparian terrace 6,mature,yes,no,267,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,723.84,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Balian & Naiman 2005,10.1007/s10021-005-0043-4,2005,"Queets River, Olympic Peninsula, Washington",47.678434,-123.900775,estimated,Olympic riparian,mature riparian terrace 7,mature,yes,no,351,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,1036.52,NA,t/ha,data thief Figs. 3 & 5,stem biomass,
Bannister et al. 2015,10.1007/978-3-319-08177-9_4,2015,southeastern Georgia,31.68,-81.82,published,Georgia,upper slough,NA,yes,no,NA,loamy fine sand,,,,8.5,0,30,soil,organic carbon concentration,1.02,0.31,%,reported values for position,no baseline,
Bannister et al. 2015,10.1007/978-3-319-08177-9_4,2015,southeastern Georgia,31.68,-81.82,published,Georgia,floodplain,NA,yes,no,NA,sandy loam,,,,8.5,0,30,soil,organic carbon concentration,2.35,0.48,%,reported values for position,no baseline,
Bannister et al. 2015,10.1007/978-3-319-08177-9_4,2015,southeastern Georgia,31.68,-81.82,published,Georgia,slough,NA,yes,no,NA,sandy loam,,,,8.5,0,30,soil,organic carbon concentration,2.33,0.21,%,reported values for position,no baseline,
Bannister et al. 2015,10.1007/978-3-319-08177-9_4,2015,southeastern Georgia,31.68,-81.82,published,Georgia,levee,NA,yes,no,NA,sandy loam,,,,8.5,0,30,soil,organic carbon concentration,1.83,0.27,%,reported values for position,no baseline,
Bannister et al. 2015,10.1007/978-3-319-08177-9_4,2015,southeastern Georgia,31.68,-81.82,published,Georgia,upper slough,NA,yes,no,NA,loamy fine sand,,,,8.5,0,30,soil,bulk density,1.2,0.06,g/cm3,reported values for position,no baseline,
Bannister et al. 2015,10.1007/978-3-319-08177-9_4,2015,southeastern Georgia,31.68,-81.82,published,Georgia,floodplain,NA,yes,no,NA,sandy loam,,,,8.5,0,30,soil,bulk density,1.2,0.07,g/cm3,reported values for position,no baseline,
Bannister et al. 2015,10.1007/978-3-319-08177-9_4,2015,southeastern Georgia,31.68,-81.82,published,Georgia,slough,NA,yes,no,NA,sandy loam,,,,8.5,0,30,soil,bulk density,0.8,0.04,g/cm3,reported values for position,no baseline,
Bannister et al. 2015,10.1007/978-3-319-08177-9_4,2015,southeastern Georgia,31.68,-81.82,published,Georgia,levee,NA,yes,no,NA,sandy loam,,,,8.5,0,30,soil,bulk density,0.9,0.04,g/cm3,reported values for position,no baseline,
Bechtold & Naiman 2006,10.1016/j.soilbio.2005.09.028,2006,South Africa,-22.98694,30.954891,estimated,floodplain,floodplain,NA,yes,no,NA,sand,,,,5,0,10,soil,organic carbon stock,262,54,g/m2,reported values for position,,
Bechtold & Naiman 2006,10.1016/j.soilbio.2005.09.028,2006,South Africa,-22.98694,30.954891,estimated,floodplain,floodplain,NA,yes,no,NA,sand,,,,5,0,10,soil,bulk density,1.4,0,g/cm3,reported values for position,,
Bechtold & Naiman 2006,10.1016/j.soilbio.2005.09.028,2006,South Africa,-22.98694,30.954891,estimated,terrace,terrace,NA,yes,no,NA,loam,,,,5,0,10,soil,organic carbon stock,1872,251,g/m2,reported values for position,,
Bechtold & Naiman 2006,10.1016/j.soilbio.2005.09.028,2006,South Africa,-22.98694,30.954891,estimated,terrace,terrace,NA,yes,no,NA,loam,,,,5,0,10,soil,bulk density,1.1,0,g/cm3,reported values for position,,
Bechtold & Naiman 2006,10.1016/j.soilbio.2005.09.028,2006,South Africa,-22.98694,30.954891,estimated,floodplain,floodplain,NA,yes,no,NA,sand,,,,5,0,50,soil,organic carbon stock,634,193,g/m2,reported values for position,,
Bechtold & Naiman 2006,10.1016/j.soilbio.2005.09.028,2006,South Africa,-22.98694,30.954891,estimated,terrace,terrace,NA,yes,no,NA,loam,,,,5,0,50,soil,organic carbon stock,7783,555,g/m2,reported values for position,,
Bedison et al. 2013,10.1016/j.foreco.2013.03.012,2013,southern New Jersey and southeastern Pennsylvania,39.829974,-74.929444,estimated,forested riparian,forested riparian,NA,yes,no,NA,multiple,,,,NA,0,30,soil,total carbon stock,100.3,15,t/ha,reported values for site,,
Bedison et al. 2013,10.1016/j.foreco.2013.03.012,2013,southern New Jersey and southeastern Pennsylvania,39.829974,-74.929444,estimated,forested riparian,forested riparian,NA,yes,no,NA,multiple,,,,NA,0,30,soil,total carbon concentration,4.8,1.1,%,reported values for site,,
Bedison et al. 2013,10.1016/j.foreco.2013.03.012,2013,southern New Jersey and southeastern Pennsylvania,39.829974,-74.929444,estimated,forested riparian,forested riparian,NA,yes,no,NA,multiple,,,,NA,0,30,soil,bulk density,1,0.033333333,g/cm3,reported values for site,bulkdens converted from t/m2/30cm deep,
Binkley et al. 1997,10.1080/11956860.1997.11682410,1997,northwest Alaska,68.07,-161.83,published,Alaska riparian,willow/poplar with heavy moose,NA,yes,no,45,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,7.09,0.954757823,t/ha,reported mean for plot type,tree+shrub,
Binkley et al. 1997,10.1080/11956860.1997.11682411,1997,northwest Alaska,68.07,-161.83,published,Alaska riparian,poplar/spruce with low moose,NA,yes,no,75,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,85.20,10.71062557,t/ha,reported mean for plot type,tree+shrub,
Binkley et al. 1997,10.1080/11956860.1997.11682412,1997,northwest Alaska,68.07,-161.83,published,Alaska riparian,poplar/spruce with high moose,NA,yes,no,75,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,57.51,17.02977172,t/ha,reported mean for plot type,tree+shrub,
Binkley et al. 1997,10.1080/11956860.1997.11682413,1997,northwest Alaska,68.07,-161.83,published,Alaska riparian,young spruce/poplar,NA,yes,no,100,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,72.35,11.96706365,t/ha,reported mean for plot type,tree+shrub,
Binkley et al. 1997,10.1080/11956860.1997.11682414,1997,northwest Alaska,68.07,-161.83,published,Alaska riparian,old spruce/poplar,NA,yes,no,220,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,69.52,8.540583265,t/ha,reported mean for plot type,tree+shrub,
Binkley et al. 1997,10.1080/11956860.1997.11682415,1997,northwest Alaska,68.07,-161.83,published,Alaska riparian,old spruce/poplar,NA,yes,no,>240,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,38.81,6.915223243,t/ha,reported mean for plot type,tree+shrub,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,cottonwood seedling,NA,yes,no,3,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,1.18,0.326496554,t/ha,reported mean for age class,leaf+shoot,1
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,cottonwood sapling,NA,yes,no,7,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,4.59,1.005683847,t/ha,reported mean for age class,leaf+shoot,1
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,cottonwood pole,NA,yes,no,34,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,147.49,31.83108544,t/ha,reported mean for age class,leaf+shoot,1
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,mature cottonwood,mature,yes,no,92,NA,,,,NA,NA,NA,aboveground biomass,biomass stock,193.42,21.24211854,t/ha,reported mean for age class,leaf+shoot,1
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,cottonwood sapling 1,NA,yes,no,4,NA,,,,NA,NA,NA,inventory biomass,biomass stock,15.09,NA,t/ha,data thief Fig. 4B,,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,cottonwood sapling 2,NA,yes,no,7,NA,,,,NA,NA,NA,inventory biomass,biomass stock,23.54,NA,t/ha,data thief Fig. 4B,,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,cottonwood sapling 3,NA,yes,no,11,NA,,,,NA,NA,NA,inventory biomass,biomass stock,11.57,NA,t/ha,data thief Fig. 4B,,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,cottonwood pole 1,NA,yes,no,23,NA,,,,NA,NA,NA,inventory biomass,biomass stock,194.01,NA,t/ha,data thief Fig. 4B,,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,cottonwood pole 2,NA,yes,no,39,NA,,,,NA,NA,NA,inventory biomass,biomass stock,410.93,NA,t/ha,data thief Fig. 4B,,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,cottonwood pole 3,NA,yes,no,43,NA,,,,NA,NA,NA,inventory biomass,biomass stock,251.14,NA,t/ha,data thief Fig. 4B,,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,cottonwood pole 4,NA,yes,no,44,NA,,,,NA,NA,NA,inventory biomass,biomass stock,150.03,NA,t/ha,data thief Fig. 4B,,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,mature cottonwood 1,mature,yes,no,75,NA,,,,NA,NA,NA,inventory biomass,biomass stock,228.49,NA,t/ha,data thief Fig. 4B,,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,mature cottonwood 2,mature,yes,no,85,NA,,,,NA,NA,NA,inventory biomass,biomass stock,253.23,NA,t/ha,data thief Fig. 4B,,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,mature cottonwood 3,mature,yes,no,95,NA,,,,NA,NA,NA,inventory biomass,biomass stock,214.26,NA,t/ha,data thief Fig. 4B,,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,mature cottonwood 4,mature,yes,no,98,NA,,,,NA,NA,NA,inventory biomass,biomass stock,298.88,NA,t/ha,data thief Fig. 4B,,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,mature cottonwood 5,mature,yes,no,108,NA,,,,NA,NA,NA,inventory biomass,biomass stock,394.41,NA,t/ha,data thief Fig. 4B,,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,average,baseline,yes,no,1,NA,,,,2,0,150,soil,organic matter stock,31.00,17.77,t/ha,reported mean for age class,,2
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,average,mature,yes,no,92,NA,,,,2,0,150,soil,organic matter stock,216.00,49.19,t/ha,reported mean for age class,,2
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,average,baseline,yes,no,1,NA,,,,2,0,10,soil,organic matter concentration,0.90,0.5,%,reported mean for age class,,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,average,NA,yes,no,7,NA,,,,2,0,10,soil,organic matter concentration,1.10,0.5,%,reported mean for age class,,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,average,NA,yes,no,38,NA,,,,2,0,10,soil,organic matter concentration,1.10,0.7,%,reported mean for age class,,
Boggs & Weaver 1994,10.1007/BF03160626,1994,"lower Yellowstone River, Montana",47.4333335,-104.4083335,midpoint,Yellowstone riparian,average,NA,yes,no,92,NA,,,,2,0,10,soil,organic matter concentration,3.60,1.5,%,reported mean for age class,,
